"IFC GUID","Area","Element Id","Level Name","Room Name"
"2yzCI3zF51IPvtK_IAcagD","317","1202363","Level 1","Living rm"
"2yzCI3zF51IPvtK_IAcahr","107","1202371","Level 1","Living rm"
"2yzCI3zF51IPvtK_IAcahz","125","1202379","Level 1","Dining rm"
"2yzCI3zF51IPvtK_IAcahb","21","1202387","Level 1","Pantry"
"2yzCI3zF51IPvtK_IAcahh","64","1202397","Level 1","Mud rm"
"2yzCI3zF51IPvtK_IAcahJ","18","1202405","Level 1","Bathroom 1"
"2yzCI3zF51IPvtK_IAcah5","283","1202419","Level 1","Bedroom 1"
"2yzCI3zF51IPvtK_IAcahD","63","1202427","Level 1","Closet 1"
"2yzCI3zF51IPvtK_IAcair","51","1202435","Level 1","Utility"
"2yzCI3zF51IPvtK_IAcaiz","25","1202443","Level 1","Mud rm"
"2yzCI3zF51IPvtK_IAcaiZ","124","1202453","Level 1","Closet 1"
"2yzCI3zF51IPvtK_IAcaih","132","1202461","Level 1","Bedroom 2"
"2yzCI3zF51IPvtK_IAcaiJ","18","1202469","Level 1","Closet 2"
"2yzCI3zF51IPvtK_IAcaiR","4","1202477","Level 1","Closet A"
"2yzCI3zF51IPvtK_IAcai3","41","1202485","Level 1","Hallway"
"2yzCI3zF51IPvtK_IAcaiB","38","1202493","Level 1","Closet 3"
"2yzCI3zF51IPvtK_IAcajp","18","1202501","Level 1","Closet 3"
"2yzCI3zF51IPvtK_IAcajx","4","1202509","Level 1","Closet B"
"2yzCI3zF51IPvtK_IAcajZ","132","1202517","Level 1","Bedroom 3"
"2yzCI3zF51IPvtK_IAcajN","218","1202529","Level 1","Bedroom 1"
