IFC GUID,Area,Element Id,Level Name,Room Name
23muuxGoTEvBBM4MX_9S6L,149,909976,Level 1,Kitchen
23muuxGoTEvBBM4MX_9S6j,52,909984,Level 1,Laundry
23muuxGoTEvBBM4MX_9S6b,132,909992,Level 1,Kitchen
23muuxGoTEvBBM4MX_9S6z,7,910000,Level 1,Closet B
23muuxGoTEvBBM4MX_9S6t,55,910010,Level 1,Corridor
23muuxGoTEvBBM4MX_9S7F,324,910018,Level 1,Living rm.
23muuxGoTEvBBM4MX_9S77,132,910026,Level 1,Den
23muuxGoTEvBBM4MX_9S7V,72,910034,Level 1,Foyer
23muuxGoTEvBBM4MX_9S7N,132,910042,Level 1,Bedroom 3
23muuxGoTEvBBM4MX_9S7l,132,910050,Level 1,Bedroom 2
23muuxGoTEvBBM4MX_9S7X,213,910060,Level 1,Bedroom 1
23muuxGoTEvBBM4MX_9S7q,112,910073,Level 1,Bathroom 2
23muuxGoTEvBBM4MX_9S0C,38,910081,Level 1,Bathroom 2
23muuxGoTEvBBM4MX_9S04,21,910089,Level 1,Closet 1A
23muuxGoTEvBBM4MX_9S0S,31,910097,Level 1,Closet 1A
23muuxGoTEvBBM4MX_9S0K,26,910105,Level 1,Closet 1B
23muuxGoTEvBBM4MX_9S0i,20,910113,Level 1,Closet 2
23muuxGoTEvBBM4MX_9S0a,20,910121,Level 1,Closet 3
23muuxGoTEvBBM4MX_9S0y,13,910129,Level 1,Corridor
23muuxGoTEvBBM4MX_9S0q,9,910137,Level 1,Corridor
23muuxGoTEvBBM4MX_9S1C,4,910145,Level 1,Closet A
3iEVRCMozFe9I5g5akSPKB,19,1301727,Level 1,Closet B
3iEVRCMozFe9I5g5akSPKf,9,1301757,Level 1,Pantry
