IFC GUID,Area,Element Id,Level Name,Room Name
130oQ$P3HDgeK6Iml3v0OL,60,1209492,Level 1,Foyer
130oQ$P3HDgeK6Iml3v0OT,146,1209500,Level 1,Foyer
130oQ$P3HDgeK6Iml3v0Ob,144,1209508,Level 1,Dining Room
130oQ$P3HDgeK6Iml3v0Oj,52,1209516,Level 1,Foyer
130oQ$P3HDgeK6Iml3v0Or,20,1209524,Level 1,Pantry
130oQ$P3HDgeK6Iml3v0O$,169,1209534,Level 1,Kitchen
130oQ$P3HDgeK6Iml3v0PD,334,1209548,Level 1,Family Room
130oQ$P3HDgeK6Iml3v0PT,90,1209564,Level 1,Family Room
130oQ$P3HDgeK6Iml3v0Pd,148,1209574,Level 2,Bedroom
130oQ$P3HDgeK6Iml3v0Pl,16,1209582,Level 2,Closet
130oQ$P3HDgeK6Iml3v0Pt,126,1209590,Level 2,Loft
130oQ$P3HDgeK6Iml3v0P$,124,1209598,Level 2,Bedroom
130oQ$P3HDgeK6Iml3v0U7,9,1209606,Level 2,Closet
130oQ$P3HDgeK6Iml3v0UH,118,1209616,Level 2,Bedroom
130oQ$P3HDgeK6Iml3v0UP,15,1209624,Level 2,Closet
130oQ$P3HDgeK6Iml3v0Uj,233,1209644,Level 2,Bedroom
130oQ$P3HDgeK6Iml3v0Ur,7,1209652,Level 2,Lin.
130oQ$P3HDgeK6Iml3v0U$,56,1209662,Level 2,Util.
130oQ$P3HDgeK6Iml3v0V7,7,1209670,Level 2,Lin.
130oQ$P3HDgeK6Iml3v0VX,46,1209696,Level 2,W.I.C.
01aTU0GVPAvgyDOeMaOkQ5,175,1209931,Level 2,Hall
