Element ID,Key
3219503,EntryFrontDoor-T
3185773,EntryRearDoor-T
3258623,EntryRearDoor-T
3252167,EntryDoorBell-T
3180009,EntryGarageDoor-T
3177694,MainMaterial-T
3177737,MainMaterial-T
3177833,MainMaterial-T
3177882,MainMaterial-T
3177979,MainMaterial-T
3178142,MainMaterial-T
3178260,MainMaterial-T
3178314,MainMaterial-T
3178370,MainMaterial-T
3178452,MainMaterial-T
3178528,MainMaterial-T
3178651,MainMaterial-T
3219198,MainMaterial-T
3219318,MainMaterial-T
3219501,MainMaterial-T
3233408,MainMaterial-T
3233484,MainMaterial-T
3236723,MainMaterial-T
3236754,MainMaterial-T
3218213,RoofMaterial-T
3218309,RoofMaterial-T
3223301,RoofMaterial-T
3264438,RoofMaterial-T
3227910,RoofGutter-T
3253779,EntryDriveway-T
3253552,EntryWalkway-T
