IFC GUID,Area,Element Id,Level Name,Room Name
3M3TGoiEzAafbEHxniz3kh,84,1087740,Level 1,Bathroom 1
3M3TGoiEzAafbEHxniz3fJ,18,1087748,Level 1,Bathroom 1
3M3TGoiEzAafbEHxniz3fR,22,1087756,Level 1,Bathroom 5
3M3TGoiEzAafbEHxniz3f3,45,1087764,Level 1,Bathroom 2
3M3TGoiEzAafbEHxniz3fB,38,1087772,Level 1,Bathroom 2
3M3TGoiEzAafbEHxniz3fp,68,1087780,Level 1,Bathroom 3
3M3TGoiEzAafbEHxniz3fd,145,1087792,Level 1,Closet 1
3M3TGoiEzAafbEHxniz3fl,38,1087800,Level 1,Closet 2
3M3TGoiEzAafbEHxniz3eN,35,1087808,Level 1,Closet 3
3M3TGoiEzAafbEHxniz3eV,28,1087816,Level 1,Closet 4
3M3TGoiEzAafbEHxniz3e7,6,1087824,Level 1,Closet A
3M3TGoiEzAafbEHxniz3eD,454,1087834,Level 1,Living rm
3M3TGoiEzAafbEHxniz3eo,203,1087845,Level 1,Kitchen
3M3TGoiEzAafbEHxniz3ev,18,1087854,Level 1,Pantry
3M3TGoiEzAafbEHxniz3el,45,1087864,Level 1,Nook
3M3TGoiEzAafbEHxniz3hM,53,1087873,Level 1,Laundry
3M3TGoiEzAafbEHxniz3hS,126,1087883,Level 1,Den
3M3TGoiEzAafbEHxniz3h0,40,1087895,Level 1,Corridor
3M3TGoiEzAafbEHxniz3hr,112,1087906,Level 1,Foyer
3M3TGoiEzAafbEHxniz3hy,184,1087915,Level 1,Dining rm
3M3TGoiEzAafbEHxniz3hY,152,1087925,Level 1,Bedroom 2
3M3TGoiEzAafbEHxniz3hg,165,1087933,Level 1,Bedroom 4
3M3TGoiEzAafbEHxniz3gG,189,1087943,Level 1,Bedroom 3
3M3TGoiEzAafbEHxniz3gO,224,1087951,Level 1,Bedroom 1
3M3TGoiEzAafbEHxniz3g0,30,1087959,Level 1,Corridor
3M3TGoiEzAafbEHxniz3g8,22,1087967,Level 1,Corridor
3M3TGoiEzAafbEHxniz3gm,36,1087975,Level 1,Corridor
