IFC GUID,Area,Element Id,Level Name,Room Name
3grCLwPtrCVvLzgHk19nJb,253,1205687,Level 1,Living rm
3grCLwPtrCVvLzgHk19nJj,5,1205695,Level 1,Closet A
3grCLwPtrCVvLzgHk19nIQ,14,1205704,Level 1,Pantry
3grCLwPtrCVvLzgHk19nI1,106,1205715,Level 1,Kitchen
3grCLwPtrCVvLzgHk19nIF,147,1205725,Level 1,Dining rm
3grCLwPtrCVvLzgHk19nIt,20,1205733,Level 1,Hallway
3grCLwPtrCVvLzgHk19nI$,8,1205741,Level 1,Closet B
3grCLwPtrCVvLzgHk19nIb,36,1205751,Level 1,Mud rm
3grCLwPtrCVvLzgHk19nIj,32,1205759,Level 1,Lanndry
3grCLwPtrCVvLzgHk19nTL,88,1205767,Level 1,Bathroom 1
3grCLwPtrCVvLzgHk19nT3,164,1205777,Level 1,Bedroom 1
3grCLwPtrCVvLzgHk19nTB,23,1205785,Level 1,Bathroom 2
3grCLwPtrCVvLzgHk19nTp,38,1205793,Level 1,Closet 1
3grCLwPtrCVvLzgHk19nTX,60,1205811,Level 2,Closet A
3grCLwPtrCVvLzgHk19nTf,100,1205819,Level 2,Bedroom 2
3grCLwPtrCVvLzgHk19nSN,65,1205829,Level 2,Hallway
3grCLwPtrCVvLzgHk19nSV,12,1205837,Level 2,Closet 2
3grCLwPtrCVvLzgHk19nS7,12,1205845,Level 2,Closet 3
3grCLwPtrCVvLzgHk19nSF,100,1205853,Level 2,Bedroom 3
3grCLwPtrCVvLzgHk19nSx,117,1205865,Level 2,Bedroom 4
3grCLwPtrCVvLzgHk19nSZ,12,1205873,Level 2,Closet 4
3grCLwPtrCVvLzgHk19nSh,11,1205881,Level 2,Closet C
3grCLwPtrCVvLzgHk19nVN,117,1205893,Level 2,Bedroom 4
