"IFC GUID","Area","Element Id","Level Name","Room Name"
"0DB27iyP94gvIm$FwA5iks","103","1226588","Level 1","Foyer"
"0DB27iyP94gvIm$FwA5ikE","154","1226596","Level 1","Bedroom 3"
"0DB27iyP94gvIm$FwA5ik6","154","1226604","Level 1","Dining rm."
"0DB27iyP94gvIm$FwA5ikU","45","1226612","Level 1","Pantry"
"0DB27iyP94gvIm$FwA5ikM","32","1226620","Level 1","Bathroom 2"
"0DB27iyP94gvIm$FwA5iji","23","1226630","Level 1","Closet 3"
"0DB27iyP94gvIm$FwA5ija","46","1226638","Level 1","Bathroom 2"
"0DB27iyP94gvIm$FwA5ijy","31","1226646","Level 1","Bathroom 2"
"0DB27iyP94gvIm$FwA5ijq","25","1226654","Level 1","Closet 2"
"0DB27iyP94gvIm$FwA5ij2","179","1226664","Level 1","Bedroom 2"
"0DB27iyP94gvIm$FwA5ijQ","18","1226672","Level 1","Hallway"
"0DB27iyP94gvIm$FwA5ijI","28","1226680","Level 1","Bathroom 3"
"0DB27iyP94gvIm$FwA5iig","53","1226688","Level 1","Laundry"
"0DB27iyP94gvIm$FwA5iia","83","1226702","Level 1","Closet 1"
"0DB27iyP94gvIm$FwA5iiy","101","1226710","Level 1","Bathroom 1"
"0DB27iyP94gvIm$FwA5iiq","22","1226718","Level 1","Bathroom 1"
"0DB27iyP94gvIm$FwA5iiC","6","1226726","Level 1","Lin."
"0DB27iyP94gvIm$FwA5ii4","239","1226734","Level 1","Bedroom 1"
"0DB27iyP94gvIm$FwA5iiK","76","1226750","Level 1","Hallway"
"0DB27iyP94gvIm$FwA5iJi","502","1226758","Level 1","Living rm."
"0DB27iyP94gvIm$FwA5iJa","267","1226766","Level 1","Kitchen"
"1sn2IkCcPEOR5cbHwawiqB","830","1231510","Level 2","Bedroom 3"
"2AVWlcwij27P3MslR6TCgn","9","1257385","Level 1","Lin."
"2r1HR9a5vFz9$kJ2QiyF6Y","700","1908321","Level 2","Garage"
