IFC GUID,Area,Element Id,Level Name,Room Name
0qzJZ4R_f5Nxtqt_YS$jBw,429,1248323,Level 1,Living Room
0qzJZ4R_f5Nxtqt_YS$jBo,11,1248331,Level 1,Closet
0qzJZ4R_f5Nxtqt_YS$jBg,21,1248339,Level 1,Closet 2
0qzJZ4R_f5Nxtqt_YS$jBY,22,1248347,Level 1,Closet 3
0qzJZ4R_f5Nxtqt_YS$jBQ,38,1248355,Level 1,Closet 3
0qzJZ4R_f5Nxtqt_YS$jBI,52,1248363,Level 1,Closet 3
0qzJZ4R_f5Nxtqt_YS$jBA,147,1248371,Level 1,Bedroom 3
0qzJZ4R_f5Nxtqt_YS$jB2,147,1248379,Level 1,Bedroom 2
0qzJZ4R_f5Nxtqt_YS$j8w,35,1248387,Level 1,Corridor
0qzJZ4R_f5Nxtqt_YS$j8o,241,1248395,Level 1,Kitchen
0qzJZ4R_f5Nxtqt_YS$j8g,113,1248403,Level 1,Dining Room
0qzJZ4R_f5Nxtqt_YS$j8Y,24,1248411,Level 1,Bathroom
0qzJZ4R_f5Nxtqt_YS$j8Q,44,1248419,Level 1,Pantry
0qzJZ4R_f5Nxtqt_YS$j8I,40,1248427,Level 1,Pantry
0qzJZ4R_f5Nxtqt_YS$j8E,101,1248439,Level 1,Corridor
0qzJZ4R_f5Nxtqt_YS$j86,231,1248447,Level 1,Bedroom 1
0qzJZ4R_f5Nxtqt_YS$j9p,145,1248458,Level 1,Bathroom 1
0qzJZ4R_f5Nxtqt_YS$j9g,14,1248467,Level 1,Closet 1
0qzJZ4R_f5Nxtqt_YS$j9Y,76,1248475,Level 1,Laundry
0qzJZ4R_f5Nxtqt_YS$j9S,172,1248485,Level 1,Closet 1
0qzJZ4R_f5Nxtqt_YS$j9K,100,1248493,Level 1,Storage
