IFC GUID,Area,Element Id,Level Name,Room Name
1dxm7brlzFyh8X_AAeDOge,136,973786,Level 1,Dining rm.
1dxm7brlzFyh8X_AAeDOgG,174,973794,Level 1,Nook
1dxm7brlzFyh8X_AAeDOgP,140,973803,Level 1,Nook
1dxm7brlzFyh8X_AAeDOg5,152,973815,Level 1,Bedroom 3
1dxm7brlzFyh8X_AAeDOgD,6,973823,Level 1,Pantry
1dxm7brlzFyh8X_AAeDOrw,257,973832,Level 1,Living rm.
1dxm7brlzFyh8X_AAeDOrc,78,973844,Level 1,Foyer
1dxm7brlzFyh8X_AAeDOrl,42,973853,Level 1,Corridor
1dxm7brlzFyh8X_AAeDOrL,20,973863,Level 1,Corridor
1dxm7brlzFyh8X_AAeDOrT,4,973871,Level 1,Closet A
1dxm7brlzFyh8X_AAeDOr5,24,973879,Level 1,Bathroom 3
1dxm7brlzFyh8X_AAeDOqr,119,973895,Level 2,Corridor
1dxm7brlzFyh8X_AAeDOqz,132,973903,Level 2,Bedroom 4
1dxm7brlzFyh8X_AAeDOqf,150,973915,Level 2,Bedroom 3
1dxm7brlzFyh8X_AAeDOqH,238,973923,Level 2,Bedroom 1
1dxm7brlzFyh8X_AAeDOqP,112,973931,Level 2,Bedroom 2
1dxm7brlzFyh8X_AAeDOq1,53,973939,Level 2,Pantry
1dxm7brlzFyh8X_AAeDOqF,97,973949,Level 2,Bedroom 1
1dxm7brlzFyh8X_AAeDOtt,13,973957,Level 2,Closet 3
1dxm7brlzFyh8X_AAeDOt$,13,973965,Level 2,Closet 2
1dxm7brlzFyh8X_AAeDOtd,15,973973,Level 2,Corridor
1dxm7brlzFyh8X_AAeDOtJ,74,973985,Level 2,Closet 1A
1dxm7brlzFyh8X_AAeDOtR,37,973993,Level 2,Bedroom 3
1dxm7brlzFyh8X_AAeDOt3,16,974001,Level 2,Bedroom 1
1dxm7brlzFyh8X_AAeDOtB,6,974009,Level 2,Closet B
