"IFC GUID","Area","Element Id","Level Name","Room Name"
"1NO09fETrDPxJFoaR5keQF","347","1207548","Level 1","Living rm"
"1NO09fETrDPxJFoaR5keTr","175","1207558","Level 1","Living rm"
"1NO09fETrDPxJFoaR5keTZ","179","1207568","Level 1","Kitchen"
"1NO09fETrDPxJFoaR5keTh","217","1207576","Level 1","Bedroom 1"
"1NO09fETrDPxJFoaR5keTL","125","1207590","Level 1","Bathroom 1"
"1NO09fETrDPxJFoaR5keTT","15","1207598","Level 1","Bathroom 1"
"1NO09fETrDPxJFoaR5keT5","42","1207606","Level 1","Closet 1A"
"1NO09fETrDPxJFoaR5keTD","42","1207614","Level 1","Closet 1B"
"1NO09fETrDPxJFoaR5keSZ","66","1207632","Level 1","Laundry"
"1NO09fETrDPxJFoaR5keSf","56","1207642","Level 1","Hallway"
"1NO09fETrDPxJFoaR5keSH","27","1207650","Level 1","Bathroom 3"
"1NO09fETrDPxJFoaR5keSP","28","1207658","Level 1","Hallway"
"1NO09fETrDPxJFoaR5keS1","63","1207666","Level 1","Media Hobby"
"1NO09fETrDPxJFoaR5keS9","120","1207674","Level 1","Bedroom 3"
"1NO09fETrDPxJFoaR5keVt","142","1207684","Level 1","Bedroom 2"
"1NO09fETrDPxJFoaR5keV$","15","1207692","Level 1","Closet 2"
"1NO09fETrDPxJFoaR5keVd","17","1207700","Level 1","Closet 3"
"1NO09fETrDPxJFoaR5keVH","71","1207714","Level 1","Closet 2"
"1NO09fETrDPxJFoaR5keVP","29","1207722","Level 1","Bathroom 2"
"1NO09fETrDPxJFoaR5keV1","29","1207730","Level 1","Bathroom 2"
"1NO09fETrDPxJFoaR5keV9","5","1207738","Level 1","Closet A"
"1NO09fETrDPxJFoaR5keUn","15","1207746","Level 1","Closet 4"
"1NO09fETrDPxJFoaR5keUv","129","1207754","Level 1","Bedroom 4"
"1NO09fETrDPxJFoaR5keUX","17","1207762","Level 1","Closet 3"
"1NO09fETrDPxJFoaR5keUf","17","1207770","Level 1","Closet 3"
"1FNnKD78nCmegpne324U93","473","2030102","Level 2","Bonus Room"
"0$0S_iAZL148Hj4N0Sm9xp","17","2039603","Level 2","Storage"
"2E0baTj4P9zB_mbPAeCQ$P","56","2046001","Level 1","Stairs"
