IFC GUID,Area,Element Id,Level Name,Room Name
2dF8OQZqT2ZwqS_RVvftOf,134,1206341,Level 1,Nook
2dF8OQZqT2ZwqS_RVvftOX,147,1206349,Level 1,Nook
2dF8OQZqT2ZwqS_RVvftOx,319,1206359,Level 1,Living rm.
2dF8OQZqT2ZwqS_RVvftOp,24,1206367,Level 1,Pantry
2dF8OQZqT2ZwqS_RVvftOB,5,1206375,Level 1,Pantry
2dF8OQZqT2ZwqS_RVvftO3,9,1206383,Level 1,Closet A
2dF8OQZqT2ZwqS_RVvftON,42,1206395,Level 1,Hallway
2dF8OQZqT2ZwqS_RVvftRb,187,1206409,Level 1,Parlor
2dF8OQZqT2ZwqS_RVvftRz,9,1206417,Level 2,Closet 2
2dF8OQZqT2ZwqS_RVvftRr,8,1206425,Level 2,Closet 3
2dF8OQZqT2ZwqS_RVvftRF,122,1206435,Level 2,Bedroom 4
2dF8OQZqT2ZwqS_RVvftR0,113,1206444,Level 2,Bedroom 3
2dF8OQZqT2ZwqS_RVvftRO,118,1206452,Level 2,Bedroom 2
2dF8OQZqT2ZwqS_RVvftRG,25,1206460,Level 2,Closet 4
2dF8OQZqT2ZwqS_RVvftQe,56,1206468,Level 2,Closet 1
2dF8OQZqT2ZwqS_RVvftQ_,102,1206482,Level 2,Bathroom 1
2dF8OQZqT2ZwqS_RVvftQs,21,1206490,Level 2,Bathroom 1
2dF8OQZqT2ZwqS_RVvftQE,59,1206498,Level 2,Bathroom 2
2dF8OQZqT2ZwqS_RVvftQ7,40,1206507,Level 2,Utility
2dF8OQZqT2ZwqS_RVvftQR,257,1206519,Level 2,Bedroom 1
2dF8OQZqT2ZwqS_RVvftTh,94,1206535,Level 2,Hallway
