"IFC GUID","Area","Element Id","Level Name","Room Name"
"0eIJHEGUrBTQm3PqnZfocy","14","1307498","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfocW","123","1307510","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfoce","113","1307518","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfobG","14","1307526","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfobO","17","1307534","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfob0","114","1307542","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfobq","32","1307554","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfobc","560","1307568","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfoaE","85","1307608","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfoam","94","1307622","Basement","Basement"
"0eIJHEGUrBTQm3PqnZfowK","42","1307714","Level 1","Entry"
"0eIJHEGUrBTQm3PqnZfowS","4","1307722","Level 1","Linen"
"0eIJHEGUrBTQm3PqnZfowA","92","1307740","Level 1","Hall"
"0eIJHEGUrBTQm3PqnZfowp","35","1307749","Level 1","Laundry"
"0eIJHEGUrBTQm3PqnZfowv","18","1307759","Level 1","Mudroom"
"0eIJHEGUrBTQm3PqnZfowX","224","1307767","Level 1","Hall"
"0eIJHEGUrBTQm3PqnZfovI","271","1307780","Level 1","Kitchen / Dining room"
"0eIJHEGUrBTQm3PqnZfovR","13","1307789","Level 1","Closet"
