IFC GUID,Area,Element Id,Level Name,Room Name
3EOi3lFCH3$98u_mByBiES,48,1215823,Level 1,Foyer
3EOi3lFCH3$98u_mByBiEA,144,1215833,Level 1,Den
3EOi3lFCH3$98u_mByBiEm,327,1215843,Level 1,Living rm.
3EOi3lFCH3$98u_mByBiE_,177,1215853,Level 1,Kitchen
3EOi3lFCH3$98u_mByBiEa,215,1215863,Level 1,Dining rm.
3EOi3lFCH3$98u_mByBiEi,10,1215871,Level 1,Closet A
3EOi3lFCH3$98u_mByBiDO,93,1215883,Level 1,Hallway
3EOi3lFCH3$98u_mByBiD0,18,1215891,Level 1,Bathroom 3
3EOi3lFCH3$98u_mByBiDE,63,1215901,Level 1,Laundry
3EOi3lFCH3$98u_mByBiDs,13,1215909,Level 1,Closet B
3EOi3lFCH3$98u_mByBiDa,83,1215927,Level 1,Stair
3EOi3lFCH3$98u_mByBiCQ,166,1215945,Level 2,Hallway
3EOi3lFCH3$98u_mByBiC2,63,1215953,Level 2,Bathroom 2
3EOi3lFCH3$98u_mByBiCA,235,1215961,Level 2,Bedroom 1
3EOi3lFCH3$98u_mByBiCo,15,1215969,Level 2,Closet C
3EOi3lFCH3$98u_mByBiCw,21,1215977,Level 2,Closet 2
3EOi3lFCH3$98u_mByBiCY,22,1215985,Level 2,Closet 3
3EOi3lFCH3$98u_mByBiCg,81,1215993,Level 2,Bathroom 1
3EOi3lFCH3$98u_mByBi3Q,21,1216009,Level 2,Bathroom 1
3EOi3lFCH3$98u_mByBi32,10,1216017,Level 2,Closet 1A
3EOi3lFCH3$98u_mByBi38,94,1216027,Level 2,Patio
3EOi3lFCH3$98u_mByBi3m,144,1216035,Level 2,Bedroom 2
3EOi3lFCH3$98u_mByBi3u,144,1216043,Level 2,Bedroom 3
3EOi3lFCH3$98u_mByBi3g,435,1216057,Level 2,Bonus rm.
