IFC GUID,Area,Element Id,Level Name,Room Name
3DIMB57CzBLB9ghibDDOL2,49,1212679,Level 1,Foyer
3DIMB57CzBLB9ghibDDOLH,118,1212692,Level 1,Dining
3DIMB57CzBLB9ghibDDOLb,48,1212704,Level 1,Hall
3DIMB57CzBLB9ghibDDOLt,40,1212722,Level 1,Butlery
3DIMB57CzBLB9ghibDDOKF,333,1212746,Level 1,Living
3DIMB57CzBLB9ghibDDOKJ,160,1212758,Level 1,Kitchen
3DIMB57CzBLB9ghibDDOKR,19,1212766,Level 1,Kitchen
3DIMB57CzBLB9ghibDDOKZ,18,1212774,Level 1,Pantry
3DIMB57CzBLB9ghibDDOKt,116,1212786,Level 2,Bedroom
3DIMB57CzBLB9ghibDDOK$,15,1212794,Level 2,Closet
3DIMB57CzBLB9ghibDDON1,120,1212804,Level 2,Bedroom
3DIMB57CzBLB9ghibDDON9,13,1212812,Level 2,Closet
3DIMB57CzBLB9ghibDDONJ,119,1212822,Level 2,Bedroom
3DIMB57CzBLB9ghibDDONR,13,1212830,Level 2,Closet
3DIMB57CzBLB9ghibDDONp,4,1212854,Level 2,Lin.
3DIMB57CzBLB9ghibDDOM6,121,1212867,Level 2,Hall
3DIMB57CzBLB9ghibDDOMB,82,1212878,Level 2,Utility
3DIMB57CzBLB9ghibDDOMJ,205,1212886,Level 2,Bedroom
3DIMB57CzBLB9ghibDDOMr,65,1212912,Level 2,Wic
1dUbuZGED98OYu3DBNuz0i,43,1938612,Level 1,Kitchen
