"IFC GUID","Area","Element Id","Level Name","Room Name"
"1wAj$dc5z2_w05eM_YXUgn","106","1210393","Level 1","Bedroom 3"
"1wAj$dc5z2_w05eM_YXUg9","10","1210401","Level 1","Closet 3"
"1wAj$dc5z2_w05eM_YXUg3","112","1210411","Level 1","Bedroom 2"
"1wAj$dc5z2_w05eM_YXUgR","10","1210419","Level 1","Closet 2"
"1wAj$dc5z2_w05eM_YXUgJ","40","1210427","Level 1","Bathroom 2"
"1wAj$dc5z2_w05eM_YXUhl","63","1210439","Level 1","Pantry"
"1wAj$dc5z2_w05eM_YXUhd","163","1210447","Level 1","Bedroom 1"
"1wAj$dc5z2_w05eM_YXUh$","41","1210455","Level 1","Closet 1"
"1wAj$dc5z2_w05eM_YXUht","8","1210463","Level 1","Pantry"
"1wAj$dc5z2_w05eM_YXUh1","228","1210473","Level 1","Living rm."
"1wAj$dc5z2_w05eM_YXUhP","128","1210481","Level 1","Dining rm."
"1wAj$dc5z2_w05eM_YXUhJ","118","1210491","Level 1","Kitchen"
"1wAj$dc5z2_w05eM_YXUeh","42","1210499","Level 1","Laundry"
"1wAj$dc5z2_w05eM_YXUeZ","6","1210507","Level 1","Closet A"
"1wAj$dc5z2_w05eM_YXUex","6","1210515","Level 1","Closet B"
"1wAj$dc5z2_w05eM_YXUep","113","1210523","Level 1","Foyer"
"1wAj$dc5z2_w05eM_YXUeB","18","1210531","Level 1","Hall"
