"IFC GUID","Area","Element Id","Level Name","Room Name"
"3Al40xprD5JOidy9cQYUfA","251","1199907","Level 1","Living Room"
"3Al40xprD5JOidy9cQYUf2","12","1199915","Level 1","Closet A"
"3Al40xprD5JOidy9cQYUfS","102","1199925","Level 1","Dining rm"
"3Al40xprD5JOidy9cQYUfK","33","1199933","Level 1","Laundry"
"3Al40xprD5JOidy9cQYUei","8","1199941","Level 1","Closet B"
"3Al40xprD5JOidy9cQYUea","17","1199949","Level 1","Closet 3"
"3Al40xprD5JOidy9cQYUey","46","1199957","Level 1","Living Room"
"3Al40xprD5JOidy9cQYUeq","80","1199965","Level 1","Bedroom 3"
"3Al40xprD5JOidy9cQYUeC","23","1199973","Level 1","Closet 1"
"3Al40xprD5JOidy9cQYUe4","35","1199981","Level 1","Bathroom 2"
"3Al40xprD5JOidy9cQYUeS","7","1199989","Level 1","Closet C"
"3Al40xprD5JOidy9cQYUeK","17","1199997","Level 1","Closet 2"
"3Al40xprD5JOidy9cQYUhi","149","1200005","Level 1","Bedroom 1"
"3Al40xprD5JOidy9cQYUha","110","1200013","Level 1","Bedroom 2"
"1Yy72COVzC3fzb5BCy0FbV","64","1405939","Level 1","Kitchen"
"1Yy72COVzC3fzb5BCy0Fue","34","1406084","Level 1","Laundry"
