IFC GUID,Area,Element Id,Level Name,Room Name
0YP3pKr1zAWwEwt_cSGgTW,45,1200862,Level 1,Utility
0YP3pKr1zAWwEwt_cSGgTJ,182,1200877,Level 1,Bedroom 1
0YP3pKr1zAWwEwt_cSGgT2,58,1200892,Level 1,Bathroom 1
0YP3pKr1zAWwEwt_cSGgQw,39,1200900,Level 1,Bathroom 2
0YP3pKr1zAWwEwt_cSGgQk,124,1200912,Level 1,Bedroom 2
0YP3pKr1zAWwEwt_cSGgQa,37,1200922,Level 1,Closet 1
0YP3pKr1zAWwEwt_cSGgQS,7,1200930,Level 1,Closet
0YP3pKr1zAWwEwt_cSGgQK,13,1200938,Level 1,Closet 2
0YP3pKr1zAWwEwt_cSGgQC,108,1200946,Level 1,Den
0YP3pKr1zAWwEwt_cSGgQ4,6,1200954,Level 1,Pantry
0YP3pKr1zAWwEwt_cSGgRu,138,1200966,Level 1,Kitchen
0YP3pKr1zAWwEwt_cSGgRl,155,1200977,Level 1,Dining rm.
0YP3pKr1zAWwEwt_cSGgRa,222,1200986,Level 1,Dining rm.
0YP3pKr1zAWwEwt_cSGgRR,50,1200997,Level 1,Foyer
0YP3pKr1zAWwEwt_cSGgRF,30,1201009,Level 1,Living rm.
