"IFC GUID","Area","Element Id","Level Name","Room Name"
"2jroqbij5CkPSftXTIbu9A","125","1203035","Level 1","Bedroom"
"2jroqbij5CkPSftXTIbu9b","39","1203060","Level 1","WIC"
"2jroqbij5CkPSftXTIbu9k","178","1203071","Level 1","Bedroom"
"2jroqbij5CkPSftXTIbuAM","8","1203079","Level 1","Closet"
"2jroqbij5CkPSftXTIbuAU","12","1203087","Level 1","Closet"
"2jroqbij5CkPSftXTIbuAn","40","1203104","Level 1","Utility"
"2jroqbij5CkPSftXTIbuAv","6","1203112","Level 1","Closet"
"2jroqbij5CkPSftXTIbuAj","67","1203132","Level 1","Foyer"
"2jroqbij5CkPSftXTIbuBK","126","1203141","Level 1","Foyer"
"2jroqbij5CkPSftXTIbuBU","245","1203151","Level 1","Living Room"
"2jroqbij5CkPSftXTIbuB6","83","1203159","Level 1","Nook"
"2jroqbij5CkPSftXTIbuBm","114","1203169","Level 1","Kitchen"
"2jroqbij5CkPSftXTIbuBu","3","1203177","Level 1","Linen"
"2jroqbij5CkPSftXTIbuBd","109","1203190","Level 1","Foyer"
